timestamp,sensor,temp_c
2026-08-28T00:00:00,outdoor,20.2
2026-08-28T00:00:00,living_room,20.1
2026-08-28T00:00:00,bedroom,19.8
2026-08-28T00:00:00,garage,9.8
2026-08-28T00:00:00,greenhouse,32.8
2026-08-28T06:00:00,outdoor,20.8
2026-08-28T06:00:00,living_room,23.1
2026-08-28T06:00:00,outdoor,-42.7
2026-08-28T06:00:00,garage,11.4
2026-08-28T06:00:00,greenhouse,24.4
2026-08-28T12:00:00,outdoor,13.5
2026-08-28T12:00:00,living_room,21.8
2026-08-28T12:00:00,bedroom,19.1
2026-08-28T12:00:00,garage,9.6
2026-08-28T12:00:00,greenhouse,31.8
2026-08-28T18:00:00,living_room,err
2026-08-28T18:00:00,outdoor,18.7
2026-08-28T18:00:00,living_room,20.8
2026-08-28T18:00:00,bedroom,20.8
2026-08-28T18:00:00,garage,14.5
2026-08-28T18:00:00,greenhouse,24.1
2026-08-29T00:00:00,outdoor,22.9
2026-08-29T00:00:00,living_room,22.4
2026-08-29T00:00:00,bedroom,20.0
2026-08-29T00:00:00,greenhouse,91.3
2026-08-29T00:00:00,greenhouse,35.5
2026-08-29T06:00:00,outdoor,15.4
2026-08-29T06:00:00,living_room,20.3
2026-08-29T06:00:00,bedroom,19.3
2026-08-29T06:00:00,garage,14.8
2026-08-29T12:00:00,bedroom
2026-08-29T06:00:00,greenhouse,31.2
2026-08-29T12:00:00,outdoor,22.9
2026-08-29T12:00:00,living_room,22.6
2026-08-29T12:00:00,bedroom,20.6
2026-08-29T12:00:00,garage,15.8
2026-08-29T12:00:00,greenhouse,28.5
2026-08-29T18:00:00,outdoor,18.8
2026-08-29T18:00:00,living_room,22.9
2026-08-29T18:00:00,bedroom,20.9
2026-08-29T18:00:00,garage,14.9
2026-08-29T18:00:00,greenhouse,30.9
2026-08-30T00:00:00,outdoor,21.3
2026-08-30T00:00:00,garage,999.9
2026-08-30T00:00:00,bedroom,19.7
2026-08-30T00:00:00,garage,10.3
2026-08-30T00:00:00,greenhouse,25.0
2026-08-30T06:00:00,outdoor,13.7
2026-08-30T06:00:00,greenhouse,29,4
2026-08-30T06:00:00,living_room,20.4
2026-08-30T06:00:00,bedroom,19.8
2026-08-30T06:00:00,garage,13.1
2026-08-30T06:00:00,greenhouse,28.4
2026-08-30T12:00:00,outdoor,15.9
2026-08-30T12:00:00,living_room,20.7

2026-08-30T12:00:00,bedroom,19.8
2026-08-30T12:00:00,garage,15.5
2026-08-30T12:00:00,greenhouse,31.8
2026-08-30T18:00:00,outdoor,19.7
2026-08-30T18:00:00,living_room,20.6
2026-08-30T18:00:00,bedroom,21.2
2026-08-30T18:00:00,garage,9.3
2026-08-30T18:00:00,greenhouse,28.6
